# Sakartvelo Defenders — Cultural Footer Content
# Total entries: 125
# Format: CATEGORY | "Fact text in English"
# Used on loading screens and main menu rotating footer.
#
# Categories:
#   Wine Culture, Alphabet, Cuisine, Polyphonic Singing,
#   History, Proverbs, Nature, Architecture, Language,
#   Sports and Traditions
#

Wine Culture | "Georgia is home to the world's oldest wine, with archaeological evidence dating back 8,000 years."
History | "Georgia was a major stop on the Silk Road, connecting Europe and Asia through mountain passes in the Caucasus."
History | "The medieval Georgian empire under Queen Tamar stretched from the Black Sea to the Caspian, encompassing much of the South Caucasus."
History | "The Bagrationi dynasty ruled Georgia for over a thousand years, from the 9th century until the Russian annexation in 1801."
History | "The Georgian national epic, 'The Knight in the Panther's Skin' by Shota Rustaveli, was written in the 12th century during Tamar's golden age."
History | "Georgia declared independence from the Soviet Union on April 9, 1991, restoring sovereignty it had lost to Russian annexation in 1801."
Proverbs | "A guest is a gift from God — 'სტუმარი ღვთის საჩუქარია' (Stumar gvtis sachukaria)."
Proverbs | "The wolf changes its fur but not its nature — 'მგამი ბეწვს იცვლის, ხასიათს — არა.'"
Proverbs | "A good name is better than a rich belt — 'კარგ სახელი აღბარია.'"
Proverbs | "If you chase two rabbits, you will lose them both — 'ორ მგავს ერთი ცხვარი არ ედევს.'"
Proverbs | "When the night comes, even a donkey can be mistaken for a horse — 'ღამე მოვა, ნათესავ ცხვარს ცესკვან ვერ განურჩები.'"
Proverbs | "Every bird admires its own nest — 'ყოველი ფრინველი თავის ბუდეს აქედვენს.'"
Proverbs | "Where there is no wine, there is no love — 'სადაც არ არის ღვინო, სადაც არ არის სიყვარული.'"
Proverbs | "The sun does not ask permission to shine — 'მზეს ნება არ ჰკითხავს.'"
Proverbs | "A tree that is bent while young cannot be straightened when old — 'მოხუც ხეს ვერ გასწორებ.'"
Proverbs | "Even an ant can carry twice its weight — 'შეიძლება ჭიანჭველმაც თავის წონის ორმაგი ატანოს.'"
Proverbs | "He who does not climb the mountain will not see the plain — 'მთაზე რომ არ ასვლიხ, ვერ დანახავ ვაკე.'"
Proverbs | "Patience is bitter, but its fruit is sweet — 'მოთმინება ტკბოლია, მაგრამ მისი ნაყოფი ტკბილი.'"
Proverbs | "A nation that forgets its past has no future — 'ის ერი არა აქვს მომავალი, რომელიც იწყებს დავიწყოს წარსული.'"
Nature | "The Caucasus Mountains, separating Georgia from Russia to the north, include Mount Shkhara at 5,193 meters — the highest peak in Georgia."
Nature | "Georgia is one of the most ecologically diverse countries on Earth, with climates ranging from subtropical to alpine to semi-arid."
Nature | "The Black Sea coast of Georgia features subtropical conditions where tea, citrus fruits, and even bamboo grow naturally."
Nature | "Georgia's Vashlovani National Park contains semi-arid landscapes resembling the African savanna — rare for Europe."
Nature | "The Borjomi-Kharagauli National Park is one of the largest protected areas in the Caucasus, home to brown bears, wolves, and lynx."
Nature | "Georgia's Svaneti region contains glaciers that feed major rivers flowing into both the Black Sea and the Caspian Sea."
Nature | "The Prometheus Cave in western Georgia features stunning stalactites and stalagmites and is one of the largest caves in the Caucasus."
Nature | "Lake Ritsa in Abkhazia, surrounded by ancient forests and snow-capped peaks, is considered one of the most beautiful mountain lakes in the world."
Nature | "Georgia is home to the Caucasian wisent, a rare species of bison that was brought back from the brink of extinction."
Nature | "The Alazani Valley in Kakheti is one of Georgia's most fertile wine-growing regions, fed by snowmelt from the Caucasus."
Nature | "Georgia has over 25,000 rivers and approximately 850 lakes, giving it extraordinary water resources for its size."
Nature | "The Tusheti region in northeastern Georgia is a remote highland paradise, accessible only via a dramatic mountain pass open a few months a year."
Architecture | "The Svan towers of Upper Svaneti are medieval stone defensive towers, some dating to the 9th century, UNESCO World Heritage listed since 1996."
Architecture | "Uplistsikhe, an ancient rock-hewn town near Gori, was carved into a cliff face and served as a major Silk Road settlement from the 1st millennium BC."
Architecture | "Vardzia, a 13th-century cave city in southern Georgia, once housed 20,000 people and was carved into the side of a mountain under Queen Tamar."
Architecture | "Georgian Orthodox churches feature a distinctive cross-dome architectural style found nowhere else in Christian architecture."
Architecture | "The Jvari Monastery, perched above the confluence of two rivers, is a 6th-century masterpiece and a UNESCO World Heritage Site."
Architecture | "The Gelati Monastery, founded by King David the Builder in 1106, was a major center of learning and houses medieval mosaics of exceptional quality."
Architecture | "Bagrati Cathedral in Kutaisi, built in the 11th century, was one of the largest churches in the medieval Georgian kingdom."
Architecture | "The Svetitskhoveli Cathedral in Mtskheta is the burial site of the robe of Christ, according to Georgian Orthodox tradition."
Architecture | "Mtskheta, Georgia's ancient capital, is a UNESCO World Heritage Site and one of the oldest continuously inhabited cities in the world."
Architecture | "The Narikala Fortress overlooking Tbilisi dates to the 4th century and has been expanded by Arab, Mongol, and Georgian rulers."
Architecture | "Ananuri Fortress on the Georgian Military Highway is a striking 16th-17th century complex with towers and frescoed churches."
Architecture | "The David Gareja monastery complex, partially carved into a semi-desert cliff face, was founded in the 6th century and straddles the Georgia-Azerbaijan border."
Language | "Georgian is the largest member of the Kartvelian language family, which has no known relationship to any other language family in the world."
Language | "The Kartvelian language family includes Georgian, Megrelian, Laz, and Svan — all native to the South Caucasus."
Language | "Georgian is famous for its consonant clusters, with words like 'gvprtskvni' (you peel us) containing eight consecutive consonants."
Language | "Georgian uses an elaborate system of verb conjugation, with verbs marked for person, number, tense, aspect, mood, and version."
Language | "The Georgian language has no grammatical gender — not for nouns, pronouns, or adjectives — making it simpler than many European languages."
Language | "Georgian is one of the oldest living literary languages, with a rich tradition of hagiographic, historical, and poetic texts dating to the 5th century."
Language | "The verb 'to be' is omitted in the present tense in Georgian — 'es me' literally means 'I this' for 'I am this.'"
Language | "Georgian features postpositions rather than prepositions, placing relation words after the noun they modify."
Language | "Ergative-absolutive case alignment in Georgian means the subject of a transitive verb takes a different case than the subject of an intransitive verb."
Language | "The Georgian language has contributed virtually no loanwords to English, reflecting centuries of cultural isolation in the Caucasus."
Language | "Old Georgian texts from the 5th-10th centuries provide crucial evidence for understanding early Christian literature in the Caucasus."
Language | "Georgian has a rich tradition of oral folklore, including epic poems, fairy tales, and ritual songs passed down for generations."
Sports and Traditions | "Lelo burti is an ancient Georgian folk rugby-like sport played with a heavy leather ball, considered a precursor to modern rugby."
Sports and Traditions | "Georgia's national rugby team is called 'the Lelos,' named after the traditional folk sport, and has competed in every Rugby World Cup since 2003."
Sports and Traditions | "Georgian wrestling has ancient roots and Georgian wrestlers have won numerous Olympic and World Championship medals."
Sports and Traditions | "The Georgian national dance, performed by the Sukhishvili National Ballet, is renowned worldwide for its acrobatic jumps and sword dances."
Sports and Traditions | "The Khorumi war dance originated in the western region of Adjara and depicts preparations for battle against invading armies."
Sports and Traditions | "Georgian chidaoba, a traditional form of wrestling, was inscribed on UNESCO's Intangible Cultural Heritage list in 2018."
Sports and Traditions | "Nodar Dumbadze Professional State Youth Theatre in Tbilisi is one of the most important centers for Georgian performing arts."
Sports and Traditions | "Tbilisoba, an annual October festival, celebrates the capital city with wine tastings, folk music, and traditional crafts."
Sports and Traditions | "The Alaverdoba festival, held annually at Alaverdi Cathedral, combines religious observance with a major harvest celebration and fair."
Sports and Traditions | "Georgia's Olympic weightlifting tradition produced legends like Lasha Talakhadze, considered the greatest super heavyweight of all time."
Sports and Traditions | "The traditional Georgian martial art 'Mardi' includes stick fighting, dagger techniques, and horsemanship, taught in mountain communities."
Sports and Traditions | "Georgian polyphonic lullabies and work songs are integral parts of daily village life, sung while harvesting, building, or caring for children."
